"filename", "language", "JSON", "Batch", "Markdown", "Python", "LaTeX", "HLSL", "comment", "blank", "total"
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_electronova/level_4/post_cutscene.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 0, 64
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_1/beatmap.json", "JSON", 280, 0, 0, 0, 0, 0, 0, 0, 280
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_1/cutscene.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 40
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_1/post_cutscene.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 61
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_2/beatmap.json", "JSON", 280, 0, 0, 0, 0, 0, 0, 0, 280
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_2/cutscene.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 61
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_3/beatmap.json", "JSON", 280, 0, 0, 0, 0, 0, 0, 0, 280
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_3/cutscene.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 75
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_4/beatmap.json", "JSON", 753, 0, 0, 0, 0, 0, 0, 3, 756
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_4/cutscene.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 61
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_funkopolis/level_4/post_cutscene.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 33
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_grand-composer/level_1/beatmap.json", "JSON", 280, 0, 0, 0, 0, 0, 0, 0, 280
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_grand-composer/level_1/cutscene.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 54
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_grand-composer/level_1/post_cutscene.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 61
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_1/beatmap.json", "JSON", 594, 0, 0, 0, 0, 0, 0, 1, 595
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_1/cutscene.json", "JSON", 113, 0, 0, 0, 0, 0, 0, 0, 113
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_1/post_cutscene.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 57
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_2/beatmap.json", "JSON", 266, 0, 0, 0, 0, 0, 0, 1, 267
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_2/cutscene.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_3/beatmap.json", "JSON", 266, 0, 0, 0, 0, 0, 0, 1, 267
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_3/cutscene.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 79
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_4/beatmap.json", "JSON", 650, 0, 0, 0, 0, 0, 0, 1, 651
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_4/cutscene.json", "JSON", 93, 0, 0, 0, 0, 0, 0, 0, 93
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_harmonius/level_4/post_cutscene.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 85
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/levelbank/world_tutorial/cutscene.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/tutorial.json", "JSON", 334, 0, 0, 0, 0, 0, 0, 35, 369
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/userbank/user1.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/datafiles/userbank/user2.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_game/shaders/shader_bw/shader_bw.vsh", "HLSL", 0, 0, 0, 0, 0, 12, 4, 4, 20
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_level_editor/beatmap_creator.py", "Python", 0, 0, 0, 161, 0, 0, 3, 57, 221
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_level_editor/beatmap_gui.py", "Python", 0, 0, 0, 360, 0, 0, 13, 166, 539
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/codebank/src_settings_loader/SettingsReader.py", "Python", 0, 0, 0, 34, 0, 0, 1, 14, 49
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/docbank/DOCBANK_README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/docbank/business_plan.md", "Markdown", 0, 0, 64, 0, 0, 0, 0, 48, 112
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/docbank/core_calculus.tex", "LaTeX", 0, 0, 0, 0, 174, 0, 12, 21, 207
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/level_editor_builder.bat", "Batch", 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/level_editor_runner.py", "Python", 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_1/beatmap.json", "JSON", 444, 0, 0, 0, 0, 0, 0, 0, 444
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_1/cutscene.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 101
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_2/beatmap.json", "JSON", 785, 0, 0, 0, 0, 0, 0, 0, 785
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_2/cutscene.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 57
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_3/beatmap.json", "JSON", 636, 0, 0, 0, 0, 0, 0, 0, 636
"/Users/tobybenjaminclark/Documents/Personal/jazzhands/levelbank/world_ampliforia/level_3/cutscene.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 79
